,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
56,56,0.11794650001684204,511.0,641.0,10,0.1,100
57,57,0.11999183299485594,512.0,653.0,10,0.1,100
58,58,0.12202345801051706,512.0,664.0,10,0.1,100
59,59,0.1240593750262633,512.0,675.0,10,0.1,100
60,60,0.12603395798942074,512.0,686.0,10,0.1,100
61,61,0.1279994160286151,512.0,697.0,10,0.1,100
62,62,0.12996158300666139,512.0,708.0,10,0.1,100
63,63,0.13193612499162555,512.0,719.0,10,0.1,100
64,64,0.1339287080336362,512.0,730.0,10,0.1,100
65,65,0.13587383303092793,512.0,741.0,10,0.1,100
66,66,0.13777962501626462,512.0,752.0,10,0.1,100
67,67,0.13968333299271762,512.0,763.0,10,0.1,100
68,68,0.1417442500242032,513.0,775.0,10,0.1,100
69,69,0.14376729098148644,513.0,786.0,10,0.1,100
70,70,0.14578941598301753,513.0,797.0,10,0.1,100
71,71,0.1477662079851143,513.0,808.0,10,0.1,100
72,72,0.14972541597671807,513.0,819.0,10,0.1,100
73,73,0.15169124997919425,513.0,830.0,10,0.1,100
74,74,0.1536616660305299,513.0,841.0,10,0.1,100
75,75,0.15562429098645225,513.0,852.0,10,0.1,100
76,76,0.15775650000432506,515.0,864.0,10,0.1,100
77,77,0.15968320798128843,515.0,875.0,10,0.1,100
78,78,0.16159141599200666,515.0,886.0,10,0.1,100
79,79,0.16348858299897984,515.0,897.0,10,0.1,100
80,80,0.16549112502252683,515.0,908.0,10,0.1,100
81,81,0.1674666249891743,515.0,919.0,10,0.1,100
82,82,0.16943908302346244,515.0,930.0,10,0.1,100
83,83,0.17140916601056233,515.0,941.0,10,0.1,100
84,84,0.1734136249870062,515.0,952.0,10,0.1,100
85,85,0.17540191602893174,515.0,963.0,10,0.1,100
86,86,0.17736579099437222,515.0,974.0,10,0.1,100
87,87,0.17932608298724517,515.0,985.0,10,0.1,100
88,88,0.1812913329922594,515.0,996.0,10,0.1,100
89,89,0.1832726250286214,515.0,1007.0,10,0.1,100
90,90,0.18521362502360716,515.0,1018.0,10,0.1,100
91,91,0.1871225829818286,515.0,1029.0,10,0.1,100
92,92,0.18905108299804851,515.0,1040.0,10,0.1,100
93,93,0.19111225003143772,515.0,1051.0,10,0.1,100
94,94,0.19313387502916157,515.0,1062.0,10,0.1,100
95,95,0.19507458299631253,515.0,1073.0,10,0.1,100
96,96,0.1969982500304468,515.0,1084.0,10,0.1,100
97,97,0.1989915409940295,515.0,1095.0,10,0.1,100
98,98,0.2010136250173673,515.0,1106.0,10,0.1,100
99,99,0.2029687080066651,515.0,1117.0,10,0.1,100
100,100,0.204966958030127,515.0,1128.0,10,0.1,100
